animal_id,gs_id
r21039,104006
r21046,104007
r21050,104008
r21051,104009
r21067,104010
r21035,104011
r21059,104012
r21048,104013
r21055,104014
r21043,104015
r21034,104016
r21056,104017
r21075,104018
r21077,104019
r21088,104020
r21037,104021
r21052,104022
r21063,104023
r21053,104024
r21066,104025
r21096,104026
r21086,104027
r21070,104028
r21101,104029
r21044,104030
r21040,104031
r21085,104032
r21094,104033
r21036,104034
r21045,104035
r21058,104036
r21064,104037
r21057,104038
r21062,104039
r21082,104040
r21061,104041
r21081,104042
r21033,104043
r21054,104044
r21074,104045
r21038,104046
r21076,104047
r21065,104048
r21084,104049
r21093,104050
r21032,104051
r21049,104052
r21068,104053
r21047,104054
r21079,104055
r21041,104056
r21073,104057
r20082,104058
r21087,104059
r21089,104060
r21103,104061
r21078,104062
r21083,104063
r21098,104064
r22023,104065
r22024,104066
r21090,104067
r21091,104068
r21104,104069
r21112,104070
r22004,104071
r22002,104072
r22015,104073
r22014,104074
r21110,104075